unit,tra_meas,tra_cov,schedule,geography,date,value
PAS,PAS_CRD,TOTAL,TOT,HU,2013,8441319.0
PAS,PAS_CRD,TOTAL,TOT,IE,2013,24603640.0
PAS,PAS_CRD,TOTAL,TOT,IS,2013,3199266.0
PAS,PAS_CRD,TOTAL,TOT,IT,2013,115279105.0
PAS,PAS_CRD,TOTAL,TOT,LT,2013,3482358.0
PAS,PAS_CRD,TOTAL,TOT,LU,2013,2169327.0
PAS,PAS_CRD,TOTAL,TOT,LV,2013,4782257.0
PAS,PAS_CRD,TOTAL,TOT,ME,2013,
PAS,PAS_CRD,TOTAL,TOT,MK,2013,
PAS,PAS_CRD,TOTAL,TOT,MT,2013,4032029.0
PAS,PAS_CRD,TOTAL,TOT,NL,2013,58077271.0
PAS,PAS_CRD,TOTAL,TOT,NO,2013,36686364.0
PAS,PAS_CRD,TOTAL,TOT,PL,2013,23274484.0
PAS,PAS_CRD,TOTAL,TOT,PT,2013,29694146.0
PAS,PAS_CRD,TOTAL,TOT,RO,2013,10016933.0
PAS,PAS_CRD,TOTAL,TOT,RS,2013,
PAS,PAS_CRD,TOTAL,TOT,SE,2013,31443225.0
PAS,PAS_CRD,TOTAL,TOT,SI,2013,1265766.0
PAS,PAS_CRD,TOTAL,TOT,SK,2013,1557149.0
PAS,PAS_CRD,TOTAL,TOT,UK,2013,210468980.0
PAS,PAS_CRD,TOTAL,TOT,AT,2014,26378676.0
PAS,PAS_CRD,TOTAL,TOT,BE,2014,28776258.0
PAS,PAS_CRD,TOTAL,TOT,BG,2014,7520697.0
PAS,PAS_CRD,TOTAL,TOT,CH,2014,46127426.0
PAS,PAS_CRD,TOTAL,TOT,CY,2014,7328546.0
PAS,PAS_CRD,TOTAL,TOT,CZ,2014,12079873.0
PAS,PAS_CRD,TOTAL,TOT,DE,2014,186445814.0
PAS,PAS_CRD,TOTAL,TOT,DK,2014,29015133.0
PAS,PAS_CRD,TOTAL,TOT,EE,2014,2019806.0
PAS,PAS_CRD,TOTAL,TOT,EL,2014,39117833.0
PAS,PAS_CRD,TOTAL,TOT,ES,2014,165354382.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2007,2014,875108116.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2020,2014,781202599.0
PAS,PAS_CRD,TOTAL,TOT,EU28,2014,876859730.0
PAS,PAS_CRD,TOTAL,TOT,FI,2014,17171931.0
PAS,PAS_CRD,TOTAL,TOT,FR,2014,136360671.0
PAS,PAS_CRD,TOTAL,TOT,HR,2014,6140797.0
PAS,PAS_CRD,TOTAL,TOT,HU,2014,9054848.0
PAS,PAS_CRD,TOTAL,TOT,IE,2014,26310826.0
PAS,PAS_CRD,TOTAL,TOT,IS,2014,3853614.0
PAS,PAS_CRD,TOTAL,TOT,IT,2014,121164587.0
PAS,PAS_CRD,TOTAL,TOT,LT,2014,3798110.0
PAS,PAS_CRD,TOTAL,TOT,LU,2014,2433966.0
PAS,PAS_CRD,TOTAL,TOT,LV,2014,4802282.0
PAS,PAS_CRD,TOTAL,TOT,ME,2014,
PAS,PAS_CRD,TOTAL,TOT,MK,2014,
PAS,PAS_CRD,TOTAL,TOT,MT,2014,4290032.0
PAS,PAS_CRD,TOTAL,TOT,NL,2014,60963003.0
PAS,PAS_CRD,TOTAL,TOT,NO,2014,37603195.0
PAS,PAS_CRD,TOTAL,TOT,PL,2014,25714422.0
PAS,PAS_CRD,TOTAL,TOT,PT,2014,32560621.0
PAS,PAS_CRD,TOTAL,TOT,RO,2014,10907487.0
PAS,PAS_CRD,TOTAL,TOT,RS,2014,
PAS,PAS_CRD,TOTAL,TOT,SE,2014,32766043.0
PAS,PAS_CRD,TOTAL,TOT,SI,2014,1307128.0
